time (seconds),encoderLeft (meters),encoderRight (meters)
1474.299,893.7180176,850.9630127
1474.401,893.7598267,851.0014648
1474.499,893.8016357,851.039917
1474.6,893.8434448,851.0783691
1474.7,893.8852539,851.1168213
1474.801,893.927124,851.1552734
1474.898,893.9689331,851.1937256
1475,894.0107422,851.2321777
1475.099,894.0525513,851.2706299
1475.201,894.0943604,851.3091431
1475.301,894.1361694,851.3475952
1475.402,894.1780396,851.3860474
1475.502,894.2198486,851.4244995
1475.599,894.2616577,851.4629517
1475.701,894.3034668,851.5014038
1475.801,894.3452759,851.539856
1475.903,894.387085,851.5783081
1476.001,894.4289551,851.6167603
1476.101,894.4707642,851.6552124
1476.201,894.5125732,851.6936646
1476.301,894.5543823,851.7321167
1476.4,894.5961914,851.7705688
1476.502,894.6380005,851.809021
1476.6,894.6798706,851.8474731
1476.693,894.7216797,851.8859253
1476.803,894.7634888,851.9243774
1476.901,894.8052979,851.9628296
1477.001,894.8471069,852.0012817
1477.101,894.888916,852.0397339
1477.2,894.9307861,852.078186
1477.301,894.9725952,852.1166382
1477.4,895.0144043,852.1550903
1477.5,895.0562134,852.1935425
1477.601,895.0980225,852.2319946
1477.699,895.1398315,852.2704468
1477.801,895.1817017,852.3088989
1477.9,895.2235107,852.3473511
1477.999,895.2653198,852.3858032
1478.101,895.3071289,852.4242554
1478.201,895.348938,852.4627075
1478.301,895.3907471,852.5011597
1478.399,895.4325562,852.5396118
1478.499,895.4744263,852.578064
1478.6,895.5162354,852.6165161
1478.702,895.5580444,852.6550293
1478.801,895.5998535,852.6934814
1478.901,895.6416626,852.7319336
1479,895.6834717,852.7703857
1479.1,895.7253418,852.8088379
1479.201,895.7671509,852.84729
1479.3,895.80896,852.8857422
1479.4,895.850769,852.9241943
1479.501,895.8925781,852.9626465
1479.6,895.9343872,853.0010986
1479.7,895.9762573,853.0395508
1479.801,895.9765625,853.0397949
1479.902,895.9765625,853.0397949
1479.996,895.9765625,853.0397949
1480.101,895.9765625,853.0397949
1480.201,895.9765625,853.0397949
1480.299,895.9765625,853.0397949
1480.399,895.9765625,853.0397949
1480.501,895.9765625,853.0397949
1480.6,895.9765625,853.0397949
1480.702,895.9765625,853.0397949
1480.801,895.9765625,853.0397949
1480.901,895.9765015,853.0397949
1481,895.9765015,853.0397949
1481.1,895.9765015,853.0397949
1481.201,895.9765015,853.0397339
1481.3,895.9765015,853.0397339
1481.401,895.9765015,853.0397339
1481.5,895.9765015,853.0397339
1481.602,895.9765015,853.0397339
1481.699,895.9765015,853.0397339
1481.805,896.0285034,853.1065063
1481.898,896.0873413,853.1781616
1482.002,896.1506348,853.2528076
1482.097,896.2208862,853.3325195
1482.201,896.2950439,853.4152222
1482.301,896.3740845,853.5018921
1482.4,896.4586182,853.5931396
1482.499,896.5462036,853.6870728
1482.6,896.6373901,853.7841187
1482.701,896.7318115,853.8841553
1482.801,896.8290405,853.9866943
1482.901,896.9285889,854.0914307
1483.001,897.0296021,854.1975708
1483.099,897.1324463,854.305542
1483.199,897.236084,854.4143066
1483.299,897.3403931,854.5238037
1483.391,897.4448242,854.633667
1483.501,897.5490723,854.7434692
1483.601,897.6525879,854.8528442
1483.7,897.7549438,854.9614258
1483.799,897.8557739,855.0689087
1483.9,897.9547119,855.1749268
1484.001,898.0512695,855.2792969
1484.099,898.1452637,855.3817139
1484.201,898.2369995,855.4824829
1484.3,898.3255615,855.5810547
1484.401,898.4107666,855.6771851
1484.501,898.4923096,855.7709351
1484.6,898.5701294,855.8623047
1484.699,898.644165,855.951355
1484.799,898.7144775,856.038269
1484.9,898.78125,856.1233521
1485,898.84552,856.2071533
1485.1,898.9068604,856.2896729
1485.201,898.9658203,856.3712769
1485.301,899.0232544,856.4522705
1485.399,899.0799561,856.5332031
1485.5,899.1369019,856.6143799
1485.601,899.1951904,856.696228
1485.7,899.2557373,856.7792969
1485.8,899.3193359,856.8639526
1485.895,899.3867188,856.9506226
1486,899.4572754,857.0391235
1486.103,899.5324097,857.1304321
1486.2,899.6124878,857.2248535
1486.3,899.6975708,857.3227539
1486.398,899.7878418,857.4241943
1486.498,899.8832397,857.52948
1486.602,899.9836426,857.6385498
1486.701,900.0890503,857.7515259
1486.8,900.1992188,857.8682251
1486.902,900.3139648,857.9886475
1487,900.4329834,858.1125488
1487.099,900.5551147,858.2389526
1487.201,900.6809692,858.3685303
1487.3,900.8103638,858.5009155
1487.401,900.9428711,858.6359253
1487.501,901.078125,858.7731323
1487.599,901.2158203,858.9122314
1487.7,901.3554688,859.0528564
1487.8,901.4967651,859.1945801
1487.901,901.6392822,859.3370972
1487.996,901.7825928,859.4800415
1488.1,901.9262695,859.6229248
1488.199,902.0700684,859.7655029
1488.3,902.213623,859.9073486
1488.401,902.3565063,860.0480347
1488.5,902.4984131,860.1873169
1488.601,902.638916,860.324646
1488.697,902.777832,860.4597778
1488.8,902.9147339,860.5924072
1488.901,903.0494385,860.722168
1489.001,903.1816406,860.8487549
1489.101,903.3118896,860.9728394
1489.208,903.4393921,861.0934448
1489.301,903.5640259,861.2102661
1489.4,903.6856689,861.3232422
1489.501,903.8043213,861.432251
1489.601,903.9199829,861.5373535
1489.708,904.0328369,861.6384888
1489.799,904.1430054,861.7358398
1489.892,904.2506104,861.8295288
1490,904.3565063,861.9207153
1490.099,904.4603271,862.0087891
1490.201,904.562439,862.0941772
1490.3,904.6630859,862.1774292
1490.394,904.7627563,862.2590942
1490.501,904.8618164,862.3397827
1490.601,904.9605103,862.4202271
1490.701,905.0593262,862.5009155
1490.796,905.1585693,862.5826416
1490.9,905.2585449,862.6657715
1491.001,905.3596191,862.7509155
1491.1,905.4616699,862.8377075
1491.198,905.5652466,862.927063
1491.3,905.6704712,863.019165
1491.398,905.7775269,863.1141357
1491.499,905.8865356,863.2119141
1491.601,905.9974365,863.3126221
1491.701,906.1101685,863.4160767
1491.798,906.2247314,863.5220947
1491.907,906.3409424,863.6305542
1492.001,906.458252,863.7406006
1492.1,906.5768433,863.8526001
1492.199,906.6965332,863.9661865
1492.301,906.8169556,864.0810547
1492.399,906.9378052,864.1967773
1492.501,907.0587158,864.3130493
1492.599,907.1793823,864.4294434
1492.699,907.2994385,864.5455322
1492.8,907.4187012,864.6610718
1492.899,907.5366211,864.7755737
1492.998,907.652771,864.8885498
1493.1,907.7667847,864.9996338
1493.193,907.8781738,865.1082764
1493.301,907.9866333,865.2141724
1493.401,908.0916138,865.3167725
1493.501,908.1928101,865.4157715
1493.602,908.2897949,865.5106812
1493.7,908.3822632,865.6010742
1493.801,908.4697876,865.6867065
1493.899,908.552002,865.7670288
1493.998,908.6286621,865.8418579
1494.099,908.7009277,865.9122925
1494.208,908.7671509,865.9765625
1494.299,908.8270264,866.0343628
1494.399,908.8804321,866.0854492
1494.51,908.9272461,866.1294556
1494.592,908.9690552,866.1679077
1494.698,909.0108643,866.2063599
1494.801,909.0527344,866.244812
1494.898,909.0945435,866.2832642
1495.001,909.1365356,866.3218994
1495.1,909.1783447,866.3603516
1495.2,909.2201538,866.3988037
1495.295,909.2619629,866.4372559
1495.401,909.303833,866.475708
1495.502,909.3456421,866.5141602
1495.598,909.3874512,866.5526123
1495.701,909.4292603,866.5910645
1495.808,909.4710693,866.6295166
1495.901,909.5128784,866.6679688
1495.997,909.5547485,866.7064209
